frame,time,area,x,y,w,h,cx,cy
466,15.548866666666667,365.5,460,204,44,32,482.0,220.0
467,15.582233333333333,973.0,448,202,58,36,477.0,220.0
468,15.6156,1268.5,448,202,58,36,477.0,220.0
469,15.648966666666666,1090.0,450,202,56,34,478.0,219.0
470,15.682333333333334,1267.5,450,200,56,38,478.0,219.0
471,15.7157,1338.0,450,202,62,34,481.0,219.0
472,15.749066666666668,1299.5,452,202,60,34,482.0,219.0
473,15.782433333333334,1363.0,452,202,60,34,482.0,219.0
474,15.8158,1331.5,452,202,60,34,482.0,219.0
475,15.849166666666667,1432.0,452,200,60,36,482.0,218.0
476,15.882533333333333,1432.0,452,200,60,36,482.0,218.0
477,15.9159,1428.5,452,201,60,35,482.0,218.5
478,15.949266666666666,1428.5,452,201,60,35,482.0,218.5
479,15.982633333333334,1424.5,452,202,60,34,482.0,219.0
480,16.016000000000002,1460.0,450,194,64,42,482.0,215.0
481,16.049366666666668,1460.0,450,194,64,42,482.0,215.0
482,16.082733333333334,1435.5,450,200,64,36,482.0,218.0
483,16.1161,1435.5,450,200,64,36,482.0,218.0
484,16.149466666666665,1435.5,450,200,64,36,482.0,218.0
485,16.182833333333335,1431.5,450,200,64,36,482.0,218.0
486,16.2162,1431.5,450,200,64,36,482.0,218.0
487,16.249566666666666,1431.5,450,200,64,36,482.0,218.0
488,16.282933333333332,1454.5,450,194,64,42,482.0,215.0
489,16.316300000000002,1448.5,450,194,64,42,482.0,215.0
490,16.349666666666668,1453.0,450,194,64,42,482.0,215.0
491,16.383033333333334,1437.0,450,200,64,36,482.0,218.0
492,16.4164,1455.0,450,194,64,42,482.0,215.0
493,16.449766666666665,1457.5,450,194,64,42,482.0,215.0
494,16.483133333333335,1441.0,450,200,64,36,482.0,218.0
495,16.5165,1467.0,450,194,64,42,482.0,215.0
496,16.549866666666667,1455.5,450,194,64,42,482.0,215.0
497,16.583233333333332,1457.5,450,194,64,42,482.0,215.0
